rank,user,participation,rating
742,Richard_love_OI,20,2261
742,MbahFaishol1937,6,2261
748,skrydg,80,2260
748,Hansuzu,50,2260
748,lrvideckis,89,2260
751,__Shi,36,2259
751,NirShalmon,43,2259
751,Tolydi_Kniper,11,2259
754,panyuchao,12,2258
754,spj_29,81,2258
754,autumn_eel,42,2258
754,Daredemo_Daisuki,8,2258
758,Nealchen,17,2257
758,aryanc403,92,2257
758,Jackie1578,17,2257
758,Qing_Yang,19,2257
762,gchebanov,91,2256
762,Na2a,146,2256
764,codelegend,122,2255
764,Gediminas,30,2255
764,benson1029,15,2255
764,zhoutb,23,2255
768,jschneider2013,23,2254
768,dgklr,9,2254
768,smurf2,4,2254
771,lsaf,12,2253
771,SokG2000,13,2253
771,jumpmelon,9,2253
774,SerezhaE,69,2252
774,Worldwide_D,11,2252
774,test12345,30,2252
774,ZeroTwo,17,2252
774,tnowak,45,2252
779,Mohammad.Sj,50,2251
779,Mustang98,89,2251
779,Jayce132,16,2251
782,abeker,102,2250
782,hugeh0ge,39,2250
782,karasek,91,2250
782,zhang9302002,14,2250
782,msuwakow,24,2250
787,den2204,57,2249
788,rui-de,119,2248
788,Im.K,23,2248
788,BThero.03,89,2248
788,GuessYCB,11,2248
788,cunt,5,2248
788,ldxcaicai,9,2248
794,jklepec,52,2247
794,theodor.moroianu,11,2247
794,Dark,84,2247
794,Renaissances,21,2247
798,RNS_JKS,30,2246
798,spiderg,26,2246
798,DAyamaCTF,47,2246
798,DQS,25,2246
798,shubham__36,77,2246
798,Cong1500DanPaiXia0,3,2246
804,tomekkulczynski,13,2245
804,zzq_IOI2019_AK,12,2245
804,InkyFlameMaster,7,2245
804,Dilute,33,2245
804,Stray_House,8,2245
804,gllonkxc,16,2245
810,Efina,14,2244
810,HatsuneMikuo,6,2244
810,YoshikaMiyafuji,20,2244
813,boleyn.su,89,2243
813,lumingqi,21,2243
813,Vexoben,16,2243
816,haas,59,2242
816,compiler_101,103,2242
816,ludo,46,2242
816,tap_tapii,40,2242
816,AA_love_dreamoon,24,2242
816,KaykAykaY,17,2242
816,chenming_z,10,2242
816,__Hysteria,10,2242
824,falanga,71,2241
824,peti1234,59,2241
824,hyunuk,41,2241
827,YaoBIG,6,2240
827,awasd,32,2240
829,RemiliaScarlet,44,2239
829,zml,34,2239
829,xBorox1,66,2239
829,MarcotheFool,6,2239
829,11235813213455,28,2239
829,agogik,11,2239
829,ouuan,36,2239
836,Anachor,92,2238
836,CrafterKolyan,57,2238
836,moss3s,3,2238
839,omochan,22,2237
839,yangkai,24,2237
839,pajenegod,54,2237
839,nzhtl1477,3,2237
839,iSooke,10,2237
844,btzy,8,2236
844,24434,41,2236
844,strawberrry,16,2236
844,aajisaka,32,2236
848,Svyat,172,2235
848,Juzek,23,2235
848,Kapt,29,2235
848,ngk,56,2235
848,milisav,47,2235
848,Cottonyeti,5,2235
848,BigMonster,7,2235
848,2om_neek,4,2235
856,VadymKa,74,2234
856,imAnik,134,2234
856,ysxxj2,43,2234
856,misztsu,27,2234
856,JonasAAA,42,2234
856,Marco_L_T,34,2234
856,benmirt,27,2234
863,skywalkert,30,2233
863,NewBalance,4,2233
865,Filyan,149,2232
865,posij118,43,2232
865,anpans,52,2232
868,monsoon,23,2231
868,Ronnie007,133,2231
868,veschii_nevstrui,101,2231
868,imathi,48,2231
868,popovicirobert,48,2231
868,mjy0724,22,2231
868,leduykhongngu,73,2231
868,FallingStar1709,27,2231
868,Antoine,69,2231
868,ljc2002,9,2231
868,Dilute_,9,2231
879,lhy526620793,10,2230
879,giraffeh,89,2230
879,-is-this-fft-,90,2230
879,ranwen,15,2230
879,AryanSM,81,2230
879,xielinhan,41,2230
885,kqp,16,2229
886,AlesyaIvanova,40,2228
886,13958806684,20,2228
888,boba5551,29,2227
888,evenharder,37,2227
888,onjo,101,2227
888,Vivek1998299,45,2227
888,UoA_Ruri,4,2227
888,The.Last.Wizard,66,2227
894,valkyrie,72,2226
894,Volkov_Ivan,44,2226
894,UoA_Kanade,6,2226
897,Aeon,121,2225
897,Abdelfatah_Elsisi,7,2225
897,extraterrestrial_,87,2225
897,YangDavid,46,2225
897,jell,29,2225
902,duyboy135,96,2224
902,denis2111,65,2224
902,ErkkiErkko,15,2224
905,MathStudent2002,16,2223
905,hangyesheng,44,2223
905,chhokmah,16,2223
908,just29,3,2222
908,zxyl,46,2222
910,zhsh,77,2221
910,phosphoric,6,2221
910,E.Space,12,2221
910,SimulatedAnnealing,14,2221
910,lamnhh,5,2221
915,_no0B,188,2220
915,archie_fake,8,2220
917,bgrm,51,2219
917,hermano95,44,2219
917,platypus999,27,2219
917,xzyxzy,19,2219
917,TiwAirOAO,13,2219
917,ZhongJQ,5,2219
917,Snake_King,11,2219
924,Trote_w,84,2218
924,emoairx,20,2218
924,erd1,38,2218
924,GodTe,16,2218
924,DawnFall,4,2218
929,IMAN_GH,167,2217
929,KayacanV,64,2217
929,tri,26,2217
929,Dibagger,66,2217
929,Dude...o_O,18,2217
934,2-SAD,235,2216
934,RobeZH,70,2216
934,Siberian,59,2216
937,TASK_DESTROYER,60,2215
937,vivekgupta,44,2215
937,hfctf0210,8,2215
937,1207koo,5,2215
937,dzerzhinski,18,2215
937,Erim.K,19,2215
937,Hayven,13,2215
937,hzdzkjdx,7,2215
937,cdqpl,8,2215
937,DieOrBreakout,35,2215
947,liymbear,15,2214
947,bortoz,23,2214
947,insert_cool_handle,10,2214
950,japh,36,2213
950,relativity,24,2213
950,pustaczek,30,2213
950,waaadreamer,11,2213
950,unk2001,11,2213
950,Illicit,4,2213
956,SmallBoy,111,2212
956,lqybzx,45,2212
956,yuma_,24,2212
956,BelowTheBottom,79,2212
956,x0000ai,17,2212
956,brandonzhang,44,2212
956,aviroop123,73,2212
956,ToMmyDong,22,2212
956,SaberH,17,2212
956,miblet,4,2212
966,Osama_Alkhodairy,130,2211
966,hjk1030,14,2211
966,xuanyi,26,2211
969,tanzaku,151,2210
969,doubility,31,2210
969,TheHellBoy,11,2210
969,nonamefour0210,28,2210
969,_shanky,110,2210
969,dhxh,33,2210
969,cdkplay,10,2210
969,hjc20032003,6,2210
977,DGC,71,2209
977,LuckyPants,13,2209
977,mdj982,47,2209
977,Ryochii,11,2209
977,everyone,9,2209
977,IWannaBeTheBlue,3,2209
983,Vlad_kv,98,2208
983,_Ash__,148,2208
983,sinus_070,138,2208
983,Gaozijian,6,2208
983,nantf,32,2208
983,Kousaka_Kirino,3,2208
983,KostasKostil,17,2208
990,nitesh_gupta,77,2207
990,FarFromRed,51,2207
990,Dancing_In_The_Dark,12,2207
990,m4h,39,2207
990,MDMAMA,6,2207
995,BayHarborButcher,65,2206
995,423555290,32,2206
995,NeKrasnyj,128,2206
995,lmn0x4F,50,2206
995,fake123,49,2206
995,Linkus,136,2206
995,SheepRanger,34,2206
995,foody,15,2206
995,braisedeggs,4,2206
1004,foepyt,10,2205
1005,SaveVMK,49,2204
1005,KNB.,27,2204
1005,ILoLy,9,2204
1005,300iqWontWinIOI2019,6,2204
1005,OIerDb,4,2204
1010,crx,19,2203
1010,SoiMae,21,2203
1010,Fidelity,137,2203
1010,xpchf,37,2203
1010,Kepperoni,65,2203
1010,Akikaze,121,2203
1010,k24,76,2203
1010,AIzero,5,2203
1010,AhemJi,5,2203
1019,solaimanope,137,2202
1019,arthurCF,110,2202
1019,Tiramister,34,2202
1022,Eran,83,2201
1022,dkflfkdeh,13,2201
1022,nanachi,17,2201
1022,Nutella3000,35,2201
1022,Chereshnya_,5,2201
1022,master_rat-1,4,2201
1028,Nicolas16,52,2200
1028,hzwer,72,2200
1028,dalt,49,2200
1031,JovanB,55,2199
1031,SPatrik,86,2199
1033,MAUZER,42,2198
1033,Furukawa-Nagisa,16,2198
1033,jiqi,24,2198
1036,Superty,65,2197
1036,thai9cdb1,30,2197
1036,achi_basadzishvili,97,2197
1036,gioto,82,2197
