rank,country,user,affiliation,birth,rating,highest,match,win
409,RU,nikgaevoy,SPbSU,1998,2368,2368,12,0
411,JP,amylase,"indeed, inc.",,2365,2431,38,0
411,JP,moririn2528,Kyoto University,2000,2365,2365,67,0
413,JP,choikiwon,,1995,2363,2403,16,0
414,CN,Gayyy,,2004,2360,2360,3,0
415,VN,creatnx,,,2359,2457,18,0
416,PL,shadowatyy,,,2358,2388,13,0
416,CN,Frost,,,2358,2358,9,0
418,CN,SHENZHEBEI,,2002,2357,2549,14,0
418,CN,core_wsy700,,,2357,2357,3,0
420,JP,abc050,Tokyo Institute of Technology,,2356,2356,75,0
421,RU,EgorLifar,,2003,2352,2447,36,0
422,CN,cogito,,,2348,2357,16,0
423,PL,fruwajacybyk,,1988,2344,2489,26,0
424,RU,Gassa,SPbSU,1984,2343,2560,19,0
425,JP,eha,"Recruit Communications Co., Ltd.",,2342,2342,11,0
425,JP,tatyam,Saitama Prefectural Omiya High School Science and Mathematics Course,2002,2342,2344,47,0
427,CN,zhouzhendong,,,2341,2341,12,0
428,RU,irkstepanov,MIPT,1998,2337,2393,17,0
429,CN,heyshb,,1997,2335,2335,11,0
429,RU,Alexandr_TS,,1998,2335,2348,16,0
431,KR,Doju,Seoul National University,1995,2334,2485,18,0
431,IR,amoo_safar,Tehran Allameh Helli High Schools no. 1,2003,2334,2334,11,0
433,JP,kazuma,Kyoto University,1997,2332,2483,77,0
434,CN,ZhusongLi,,1986,2331,2342,16,0
435,CN,Akigeor,,,2330,2330,10,0
435,UA,famafka,,,2330,2419,18,0
437,UA,melnyk,,1994,2327,2524,21,0
438,JP,nai,P,1991,2326,2353,36,0
439,UA,nobik,,,2325,2485,25,0
440,CN,SD_le,,,2324,2324,12,0
440,US,cliu568,MIT,1999,2324,2324,6,0
442,JP,sajninredoc,,,2321,2325,9,0
443,CN,jufusong,,,2320,2320,6,0
444,JP,dohatsutsu,,1994,2319,2465,53,0
444,CN,Magolor,,2001,2319,2356,9,0
446,JP,olphe,Tokyo University of Agriculture and Technology,1998,2318,2412,89,0
447,RO,mcalancea,,,2316,2461,22,0
447,RU,rembocoder,,1996,2316,2316,3,0
449,RS,boba5551,,,2315,2326,28,0
450,RU,ifsmirnov,,,2314,2369,7,0
451,JP,risujiroh,The University of Tokyo,1997,2313,2365,36,0
452,RU,Andreikkaa,Moscow SU,1998,2312,2339,11,0
452,NL,TimonKnigge,,,2312,2383,6,0
452,JP,yamunaku,Kyoto University,1998,2312,2343,38,0
455,RO,alexpetrescu,,2000,2311,2311,15,0
455,CN,mayaohua,,,2311,2311,3,0
457,JP,kotatsugame,Tohoku University,1999,2310,2323,62,0
458,JP,wafrelka,おふとん,,2309,2549,29,0
459,JP,Misteer,The University of Tokyo,1998,2307,2307,43,0
460,JP,akouryy,The University of Tokyo,,2306,2433,26,0
461,JP,tanzaku,future,,2305,2484,95,0
461,JP,leaf1415,University of Fukui,1994,2305,2345,58,0
463,JP,nwin,,,2304,2360,56,0
464,JP,kenimo,,,2303,2303,24,0
465,JP,monolith,Y,1995,2302,2302,39,0
465,CN,Fop_zz,,,2302,2302,12,0
465,JP,TMJN,星尾女子高等学校,2002,2302,2302,36,0
468,JP,j_gui0121,e-seikatsu,1994,2300,2359,43,0
469,JP,tossy,,1993,2299,2373,70,0
470,UA,arsijo,,2000,2298,2298,4,0
470,CA,imaxblue,,2002,2298,2298,13,0
472,RO,bogdan10bos,,2000,2297,2396,11,0
472,SE,Xylofo,,1997,2297,2297,3,0
472,KR,x0000ai,,,2297,2378,11,0
475,CN,goldgenius,,,2296,2296,8,0
476,VN,ngochai,NTU,1994,2295,2406,13,0
476,RU,sokian,MLW,1992,2295,2337,9,0
478,JP,luma,うぇ,2000,2294,2294,58,0
479,HK,microtony,,,2292,2376,12,0
480,JP,ei13333,Shizuoka University,1997,2291,2498,99,0
480,JP,nakano,Kyoto University,,2291,2291,34,0
482,CZ,wave,Charles University in Prague,1997,2290,2517,10,0
483,CN,Vegetable,,,2289,2294,7,0
484,CN,lihao888,,1980,2286,2286,4,0
485,PL,krey,University of Wroclaw,1995,2285,2285,7,0
486,CN,wangyuji,,2002,2282,2352,5,0
487,IR,MMahdi,M.Mahdi,1997,2281,2281,5,0
487,IR,matrix,,,2281,2281,4,0
489,BB,zxn,,,2280,2280,9,0
490,JP,yosss,東京大学,1989,2279,2399,18,0
490,CN,ljt12138,Taiyuan NO.5 High School,2001,2279,2285,20,0
492,CN,wucstdio,,2003,2278,2278,10,0
493,CN,jiangshibiao,,1999,2277,2277,4,0
494,JP,base64,Kyoto University,1996,2276,2328,42,0
495,CN,codefestival,,2001,2273,2273,4,0
496,PL,dj3500,EPFL,1990,2272,2291,8,0
496,PL,FCB1234,,2000,2272,2292,6,0
